TIC_ID,T_eff (K),Start_time (TBJD),End_time (TBJD),Peak_time (TBJD),Amplitude,Duration (days),Flare_energy (erg),ED (s)
33878971,3117,2089.44022,2089.459664,2089.440914,0.214841033,0.019444328,3.24E+30,15621.46269
33878971,3117,2089.449479,2089.451794,2089.449942,0.286830254,0.002314801,6.78E+28,2851.557922
33878971,3117,2094.485088,2094.491801,2094.48532,0.060365474,0.006712903,2.62E+29,3516.807289
33949202,3442,2088.634949,2088.645597,2088.636106,0.013459599,0.010648344,1.49E+30,2702.957717
33949202,3442,2105.329456,2105.340336,2105.331539,0.060354962,0.010879513,4.31E+30,9116.241265
38518773,3496,2096.189685,2096.193852,2096.190611,0.09566247,0.004166708,6.33E+29,1986.325693
38586438,3471,2089.062014,2089.072662,2089.062477,0.071482901,0.010648293,1.91E+30,2785.042452
38827910,5304,2097.859352,2097.881343,2097.860046,0.041021461,0.021990926,1.85E+32,8177.699259
47423224,3172,2109.412502,2109.416438,2109.413197,0.074750831,0.003935043,7.58E+28,3269.21832
47423224,3172,2111.014527,2111.01823,2111.014758,0.019875166,0.003703564,3.39E+28,1431.550407
55269690,4974.779785,2093.605737,2093.610366,2093.606894,0.041420815,0.004629659,3.52E+30,1041.085608
9210746,3406,2091.513292,2091.537135,2091.515375,0.02726666,0.023842822,1.34E+31,10033.71527
9210746,3406,2098.124898,2098.129527,2098.126286,0.026598175,0.004629633,3.37E+29,1239.975387
9210746,3406,2098.352907,2098.361472,2098.35337,0.005218217,0.008564819,8.72E+29,1485.426101
9210746,3406,2103.332534,2103.33809,2103.333923,0.057073976,0.00555551,1.09E+30,3733.059379
80427281,3479,2089.493652,2089.497818,2089.494346,0.050684248,0.004166733,3.97E+29,1315.865769
80427281,3479,2096.305064,2096.311777,2096.305759,0.038088439,0.006713002,7.28E+29,1307.108699
80427281,3479,2105.672215,2105.681243,2105.673141,0.060388083,0.009027728,2.31E+30,3654.532548
89502706,3587,2103.095606,2103.103477,2103.096764,0.090655589,0.007870348,2.05E+30,3143.478011
89502706,3587,2103.822918,2103.826622,2103.823613,0.061386467,0.003703685,4.02E+29,1278.136444
115242300,,2092.457545,2092.462637,2092.459165,0.096966318,0.005092655,,3634.351423
116157537,6973,2094.901778,2094.943676,2094.911732,0.009887386,0.041898415,3.05E+34,6441.523034
117874959,3560,2095.725905,2095.747665,2095.728683,0.369494232,0.021759485,8.29E+31,46542.67637
141807839,3259,2090.655856,2090.657708,2090.656319,0.127687102,0.001851835,8.50E+28,863.1004362
141807839,3259,2112.267439,2112.271143,2112.268134,0.103533942,0.003703662,4.19E+29,2162.107845
12421477,3461,2106.613051,2106.613977,2106.613283,0.078239956,0.000925923,3.77E+28,661.720092
150188736,3720,2108.590872,2108.593187,2108.591335,0.047203824,0.002314836,1.58E+29,818.486007
150432211,3264,2089.200334,2089.208436,2089.201492,0.077296877,0.008101906,3.22E+29,3018.68977
150432211,3264,2095.308701,2095.311247,2095.309164,0.081857008,0.002546308,3.64E+28,1133.782715
158595208,4836.319824,2099.049959,2099.079357,2099.053199,0.046023921,0.029398235,5.02E+32,28067.68313
158595208,4836.319824,2102.641177,2102.686779,2102.641872,0.014558168,0.04560196,6.97E+32,23400.02851
158595208,4836.319824,2102.650437,2102.660159,2102.651363,0.046171034,0.009722245,5.13E+31,8647.843807
158624542,3850,2107.360309,2107.390865,2107.361235,0.037469989,0.030555558,1.67E+32,44241.80512
166808151,3510,2089.4243,2089.434717,2089.426384,0.160574605,0.010416922,7.46E+30,7509.924845
167551757,,2092.415388,2092.41886,2092.416082,0.02445062,0.003472222,,505.970593
167551757,,2094.311453,2094.315388,2094.31261,0.051125925,0.003935184,,932.357906
167551757,,2105.692707,2105.697568,2105.69317,0.002813519,0.004861122,,580.967891
197829751,3260,2088.625014,2088.693303,2088.626172,0.291039808,0.06828874,7.75E+31,67996.85743
201289286,3206,2095.993888,2095.998055,2095.995046,0.136572288,0.004166614,1.57E+29,3637.762648
201292296,3379,2097.376247,2097.381571,2097.377867,0.164249329,0.005324002,1.26E+30,6805.729303
201292296,3379,2107.340656,2107.343665,2107.341119,0.031271877,0.003009186,1.34E+29,1111.7008
201753428,3518,2091.191749,2091.199157,2091.193369,0.199177224,0.007407471,2.74E+30,4989.23151
201753428,3518,2107.803134,2107.815402,2107.80406,0.048452822,0.012268463,1.90E+30,1360.998373
201753428,3518,2111.461908,2111.475797,2111.462139,0.03824462,0.013888785,3.35E+30,2473.383596
201792346,2967,2093.134056,2093.136602,2093.134519,0.092243007,0.002546312,5.57E+27,1088.527786
201792346,2967,2111.957899,2111.963454,2111.958593,0.111531274,0.005555513,3.96E+28,3658.145456
201795667,3313,2089.884261,2089.890974,2089.885419,0.04654168,0.006713043,5.83E+29,2069.75872
201795667,3313,2096.113712,2096.127832,2096.114406,0.028350789,0.014120448,2.34E+30,3820.498361
201795667,3313,2096.59126,2096.602835,2096.591723,0.03310076,0.011574134,2.40E+30,5307.057505
201795667,3313,2097.322514,2097.330384,2097.323671,0.074649866,0.007870407,1.04E+30,3342.811623
201795667,3313,2109.466979,2109.479016,2109.468136,0.063467881,0.012036987,2.82E+30,6079.643873
201795667,3313,2109.642904,2109.649385,2109.643367,0.057942635,0.006481454,7.02E+29,2782.822228
201919099,4194,2089.401853,2089.404399,2089.402548,0.022379889,0.002546338,4.07E+29,389.5255096
206542524,3168,2108.170761,2108.177705,2108.171918,0.078316888,0.006944366,3.28E+29,6305.668774
206592394,5597,2098.077025,2098.080265,2098.077256,0.020658395,0.003240731,3.17E+30,641.3762561
25118964,3323,2098.582239,2098.591035,2098.583396,0.395022978,0.008796262,4.37E+30,13921.66669
207199350,3934,2092.941162,2092.947181,2092.942088,0.1304585,0.006018605,8.35E+30,9329.589907
219998026,5551,2090.908931,2090.916107,2090.909626,0.048680609,0.007176044,3.00E+31,3085.218438
219998026,5551,2106.754922,2106.766728,2106.755154,0.008982878,0.011805584,2.69E+31,1000.680032
220432563,3387,2091.434703,2091.436555,2091.435166,0.069265552,0.001851883,3.17E+28,689.6018065
220473309,3884,2090.196833,2090.206555,2090.197759,0.010177194,0.009722414,2.79E+30,280.3333221
224270730,3491,2111.67398,2111.677452,2111.674906,0.047741133,0.003472118,2.51E+29,1757.418049
229147927,3623,2109.057696,2109.060936,2109.058158,0.0903973,0.003240745,9.18E+29,4437.80807
231017428,3530,2103.738886,2103.752775,2103.740969,0.0718374,0.013888868,1.28E+31,19921.14935
231020638,3356,2090.059332,2090.066276,2090.059563,0.022514617,0.006944497,5.42E+29,1285.217395
231020638,3356,2095.982504,2095.988986,2095.982736,0.052317847,0.00648149,6.44E+29,1825.797322
231020638,3356,2104.94824,2104.964443,2104.948934,0.014166333,0.016203624,3.00E+30,3076.728518
231020638,3356,2111.82133,2111.826886,2111.821793,0.038362742,0.005555493,3.88E+29,1199.9086
231799463,,2088.503238,2088.512497,2088.505321,368.9494266,0.009259243,,24204.76522
231835378,3282,2109.193703,2109.194861,2109.193935,0.310353625,0.001157388,3.36E+28,2590.381275
231910539,3179,2088.330648,2088.3325,2088.330879,0.114177071,0.001851843,4.89E+28,1439.739482
231910539,3179,2098.287932,2098.290941,2098.288858,0.132166639,0.003009209,1.05E+29,1877.90147
231910539,3179,2104.456108,2104.460506,2104.456571,0.086909776,0.00439805,1.74E+29,2021.703643
231914259,,2093.17915,2093.182622,2093.179382,0.046645245,0.003472178,,892.0378742
231914259,,2105.785876,2105.79745,2105.787034,0.028798817,0.011573799,,858.530475
231914259,,2105.799533,2105.809718,2105.800228,0.036478026,0.010184943,,1823.186974
232073219,,2099.016297,2099.023935,2099.017454,0.12022963,0.00763878,,4538.143527
232073219,,2103.11925,2103.123648,2103.120407,0.279536515,0.004398081,,4167.949093
29779873,,2096.215449,2096.218921,2096.216144,0.138933078,0.003472196,,1226.358172
29780677,2849,2094.414536,2094.425647,2094.415693,0.262518777,0.01111106,1.35E+29,11258.13902
29987437,,2106.840161,2106.846179,2106.841318,0.24401671,0.006018502,,6982.401095
234506911,3526,2089.75538,2089.812324,2089.756075,0.079336316,0.056944026,2.03E+32,50960.51994
234509975,3476,2096.181125,2096.188069,2096.182513,0.177403821,0.006944366,2.79E+30,12978.57992
251845153,3334,2108.727008,2108.74136,2108.73048,0.317019886,0.014351765,1.03E+31,15995.9918
260162387,5855,2106.472052,2106.474599,2106.472515,0.03964208,0.002546343,8.71E+30,955.66085
260268898,5186,2109.317158,2109.322251,2109.317621,0.024907556,0.005092691,3.14E+30,504.7499582
31633878,3556,2105.93905,2105.944142,2105.939513,0.033859476,0.00509252,6.48E+29,2328.394286
31633878,3556,2108.589704,2108.591787,2108.590399,0.071566883,0.0020833,2.07E+29,1998.072952
272086159,3262,2090.891651,2090.895123,2090.891883,0.140416195,0.003472167,8.54E+28,1706.698736
